Points,K,MultEps,MinPts,Nodes,S1-Parsing,S2-Kd-tree,S3-Up max angles,S3.5-AllGather angles,S4-EPS&other,S5-DBSCAN,S6-Border-tree,S7-Core points,S7.5-AlltoAll,S8-File print/Total Time,NumberClusters,CPUinfo
52072,5,1.30,7,8,0.0266,0.1247,2.3567,4.3485,4.3509,26.1335,26.1490,26.7260,27.7616,27.8648,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,8,0.0379,0.1360,2.3186,4.3672,4.3694,26.0776,26.0927,26.6538,28.2327,28.3412,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,8,0.0379,0.1362,2.3804,4.3994,4.4017,26.2151,26.2305,26.8095,27.7166,27.7882,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,8,0.0377,0.1328,2.3224,4.4340,4.4362,26.1861,26.2010,26.7618,28.1392,28.2125,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,8,0.0786,0.1458,1.3567,2.4860,2.4877,17.4559,17.4669,17.7855,17.9165,18.0670,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,8,0.0273,0.1227,2.3090,4.3246,4.3268,26.1249,26.1400,26.7009,27.8582,28.0266,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,8,0.0377,0.1359,2.3221,4.3870,4.3893,26.1237,26.1386,26.6993,27.8391,28.0896,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,8,0.0376,0.1337,2.3276,4.3630,4.3652,26.1481,26.1630,26.7270,27.9958,28.0439,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,8,0.0383,0.1360,2.3185,4.4060,4.4083,26.0773,26.0919,26.6522,28.2999,28.4559,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,4,0.0986,0.1959,5.0124,7.8297,7.8440,29.4354,29.4509,30.7148,30.7156,30.7854,10,Intel(R) Xeon(R) Gold 6140M CPU @ 2.30GHz
52072,5,1.30,7,4,0.0231,0.1186,4.8870,8.2520,8.2542,29.9122,29.9269,31.1900,32.1946,32.2319,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,4,0.0227,0.1181,4.8924,8.2906,8.2930,30.0649,30.0800,31.3436,32.2235,32.2543,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,4,0.0224,0.1204,4.9644,8.2298,8.2319,29.8755,29.8902,31.1561,32.0660,32.1016,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,4,0.0452,0.1138,2.7512,4.6980,4.6997,19.6477,19.6588,20.3809,20.6975,21.0239,10,Intel(R) Xeon(R) Gold 6418H
52072,5,1.30,7,4,0.0437,0.1444,4.9781,8.2796,8.2818,29.8992,29.9138,31.1647,32.1504,32.2097,10,Intel(R) Xeon(R) Gold 6252N CPU @ 2.30GHz
52072,5,1.30,7,4,0.0232,0.0889,2.7569,8.3019,8.3036,23.1548,23.1655,23.8790,32.2682,32.3371,10,Intel(R) Xeon(R) Gold 6418H
